system,numa,vCPU,bs,dt,in_size,out_size,model,index,time
sgx,1s,16,1bs,bf16,128,128,7B,6,23.617472
sgx,1s,16,1bs,bf16,128,128,7B,7,23.585883
sgx,1s,16,1bs,bf16,128,128,7B,8,23.611059
sgx,1s,16,1bs,bf16,128,128,7B,9,23.627058
sgx,1s,16,1bs,bf16,128,128,7B,10,23.775917
sgx,1s,16,1bs,bf16,128,128,7B,11,23.774725
sgx,1s,16,1bs,bf16,128,128,7B,12,23.797237
sgx,1s,16,1bs,bf16,128,128,7B,13,23.777436
sgx,1s,16,1bs,bf16,128,128,7B,14,23.813688
sgx,1s,16,1bs,bf16,128,128,7B,15,23.82247
sgx,1s,16,1bs,bf16,128,128,7B,16,23.86539
sgx,1s,16,1bs,bf16,128,128,7B,17,23.685145
sgx,1s,16,1bs,bf16,128,128,7B,18,23.711599
sgx,1s,16,1bs,bf16,128,128,7B,19,23.94432
sgx,1s,16,1bs,bf16,128,128,7B,20,23.96641
sgx,1s,16,1bs,bf16,128,128,7B,21,23.877979
sgx,1s,16,1bs,bf16,128,128,7B,22,23.956754
sgx,1s,16,1bs,bf16,128,128,7B,23,23.989819
sgx,1s,16,1bs,bf16,128,128,7B,24,24.058613
sgx,1s,16,1bs,bf16,128,128,7B,25,23.968858
sgx,1s,16,1bs,bf16,128,128,7B,26,23.693825
sgx,1s,16,1bs,bf16,128,128,7B,27,23.691113
sgx,1s,16,1bs,bf16,128,128,7B,28,23.729898
sgx,1s,16,1bs,bf16,128,128,7B,29,23.706723
tdx,1s,16,1bs,bf16,2048,128,7B,0,56.112068
tdx,1s,16,1bs,bf16,2048,128,7B,1,56.114195
tdx,1s,16,1bs,bf16,2048,128,7B,2,56.000952
tdx,1s,16,1bs,bf16,2048,128,7B,3,56.17184
tdx,1s,16,1bs,bf16,2048,128,7B,4,56.078492
tdx,1s,16,1bs,bf16,2048,128,7B,5,56.115026
tdx,1s,16,1bs,bf16,2048,128,7B,6,56.07147
tdx,1s,16,1bs,bf16,2048,128,7B,7,56.039781
tdx,1s,16,1bs,bf16,2048,128,7B,8,56.079142
tdx,1s,16,1bs,bf16,2048,128,7B,9,56.140965
tdx,1s,16,1bs,bf16,2048,128,7B,10,56.087679
tdx,1s,16,1bs,bf16,2048,128,7B,11,56.145325
tdx,1s,16,1bs,bf16,2048,128,7B,12,56.096265
tdx,1s,16,1bs,bf16,2048,128,7B,13,56.127393
tdx,1s,16,1bs,bf16,2048,128,7B,14,56.135015
tdx,1s,16,1bs,bf16,2048,128,7B,15,56.200757
tdx,1s,16,1bs,bf16,2048,128,7B,16,56.122588
tdx,1s,16,1bs,bf16,2048,128,7B,17,56.107265
tdx,1s,16,1bs,bf16,2048,128,7B,18,56.124852
tdx,1s,16,1bs,bf16,2048,128,7B,19,56.087854
tdx,1s,16,1bs,bf16,2048,128,7B,20,56.196801
tdx,1s,16,1bs,bf16,2048,128,7B,21,56.086527
tdx,1s,16,1bs,bf16,2048,128,7B,22,56.127535
tdx,1s,16,1bs,bf16,2048,128,7B,23,56.170557
tdx,1s,16,1bs,bf16,2048,128,7B,24,56.203637
tdx,1s,16,1bs,bf16,2048,128,7B,25,56.260283
tdx,1s,16,1bs,bf16,2048,128,7B,26,56.094169
tdx,1s,16,1bs,bf16,2048,128,7B,27,56.104866
tdx,1s,16,1bs,bf16,2048,128,7B,28,56.095447
tdx,1s,16,1bs,bf16,2048,128,7B,29,56.127681
tdx,1s,16,64bs,bf16,128,128,7B,0,678.059071
tdx,1s,16,64bs,bf16,128,128,7B,1,678.441899
tdx,1s,16,64bs,bf16,128,128,7B,2,678.739904
tdx,1s,16,64bs,bf16,128,128,7B,3,678.985992
tdx,1s,16,64bs,bf16,128,128,7B,4,702.539366
tdx,1s,16,64bs,bf16,128,128,7B,5,678.935226
tdx,1s,16,64bs,bf16,128,128,7B,6,679.752869
tdx,1s,16,64bs,bf16,128,128,7B,7,681.227873
tdx,1s,16,64bs,bf16,128,128,7B,8,679.297296
tdx,1s,16,64bs,bf16,128,128,7B,9,679.475927
tdx,1s,16,64bs,bf16,128,128,7B,10,679.117177
tdx,1s,16,64bs,bf16,128,128,7B,11,679.662186
